RNAseqname                                   	numofnts  	Time(s)   	MFEILP    	MFEARCHIVE	MFERNAstr 	MFERNAFold	MFEUNAfold	F1ILP     	F1RNAstr  	F1RNAFold 	F1UNAFold 	FbILP     	FbRNAstr  	FbRNAFold 	FbUNAFold 	INFILP    	INFRNAstr 	INFRNAFold	INFUNAFold
tRNA_tdbR00000028-Hordeum_vulgare-4513-Asp-QUC	77        	5400.69   	-28.58    	-25.30    	-29.60    	-28.80    	-25.60    	0.18      	0.52      	0.53      	0.37      	0.19      	0.55      	0.56      	0.38      	0.18      	0.52      	0.53      	0.37      
tRNA_tdbR00000029-Asterias_amurensis-7602-Asp-QUC	73        	3735.26   	-24.58    	-9.00     	-17.80    	-17.60    	-18.90    	0.18      	0.00      	0.00      	0.00      	0.19      	0.00      	0.00      	0.00      	0.18      	0.00      	0.00      	0.00      
tRNA_tdbR00000030-Aedes_albopictus-7160-Asp-GUC	71        	5400.92   	-8.42     	-1.40     	-5.20     	-5.10     	-7.60     	0.98      	0.78      	0.47      	0.78      	0.99      	0.71      	0.45      	0.71      	0.98      	0.79      	0.48      	0.79      
tRNA_tdbR00000031-Rattus_norvegicus-10116-Asp-QUC	71        	5400.66   	-16.39    	-7.60     	-12.40    	-11.60    	-13.10    	0.71      	0.93      	0.91      	0.91      	0.74      	0.94      	0.93      	0.93      	0.71      	0.93      	0.91      	0.91      
tRNA_tdbR00000032-Rattus_norvegicus-10116-Asp-GUC	72        	5400.71   	-16.39    	-7.90     	-12.70    	-11.90    	-13.30    	0.71      	0.93      	0.91      	0.91      	0.74      	0.94      	0.93      	0.93      	0.71      	0.93      	0.91      	0.91      
tRNA_tdbR00000033-Didelphis_virginiana-9267-Asp-QUC	73        	5400.69   	-15.17    	-8.00     	-10.70    	-9.90     	-9.20     	0.95      	0.98      	0.95      	0.56      	0.95      	0.96      	0.95      	0.57      	0.95      	0.98      	0.95      	0.56      
tRNA_tdbR00000034-Mesocricetus_auratus-10036-Asp-GUC	71        	5400.69   	-12.88    	-5.30     	-9.80     	-9.00     	-10.50    	0.91      	0.93      	0.91      	0.76      	0.93      	0.94      	0.93      	0.70      	0.91      	0.93      	0.91      	0.76      
tRNA_tdbR00000035-Saccharomyces_cerevisiae-4932-Asp-GUC	75        	5400.93   	-27.39    	-23.30    	-25.60    	-26.60    	-21.40    	0.53      	0.76      	0.50      	0.26      	0.56      	0.76      	0.51      	0.25      	0.53      	0.76      	0.50      	0.26      
tRNA_tdbR00000036-Euglena_gracilis-3039-Asp-GUC	75        	5400.86   	-28.16    	-20.60    	-22.50    	-23.90    	-21.90    	0.76      	1.00      	0.76      	0.76      	0.78      	1.00      	0.78      	0.78      	0.76      	1.00      	0.76      	0.76      
tRNA_tdbR00000037-Rattus_norvegicus-10116-Asp-GUC	76        	5401.47   	-31.41    	-25.40    	-27.40    	-28.00    	-24.50    	0.81      	0.76      	0.50      	0.50      	0.81      	0.76      	0.51      	0.51      	0.81      	0.76      	0.50      	0.50      
